Title,Interviewer,Content
Ted Berrigan,ByGarrett Caples,"Garrett Caples is the author ofLovers of Today(2021),Power Ballads(2016),Retrievals(2014),Quintessence of the Minor: Symbolist Poetry in English(2010),Complications(2007), andThe Garrett Caples Reader(1999). He is an editor at City Lights Books, where he curates the Spotlight poetry series. Caples was... Ted Berrigan was born Edmund Joseph Michael Berrigan, Jr. in Providence, Rhode Island, the oldest of three children of Margaret Dugan and Edmund Berrigan, the chief engineer at Ward’s Baking... Alice Notley has become one of America’s greatest living poets. She has long written in narrative and epic and genre-bending modes to discover new ways to explore the nature of... An introduction to one of the most lasting styles of mid-century American poetry. John Ashbery was recognized as one of the greatest 20th-century American poets. He won nearly every major American award for poetry, including the Pulitzer Prize, the National Book Award, the... The 17th-century Japanese haiku master Bashō was born Matsuo Kinsaku near Kyoto, Japan, to a minor samurai and his wife. Soon after the poet’s birth, Japan closed its borders, beginning... Author of eight books of poetry and numerous chapbooks, Anselm Berrigan earned a BA from SUNY Buffalo and an MFA from Brooklyn College. His collections of poetry includeIntegrity & Dramatic... Edmund Berrigan is the author of the poetry collectionsMore Gone(City Lights, 2019),Glad Stone Children(Farfalla, 2008), andDisarming Matter(Owl Press, 1999), as well as the memoirCan It!(Letter... Born in Salem, Arkansas and raised in Tulsa, artist, poet, and theater set designer Joe Brainard moved to New York City at age 19. There, he joined the community of... Born in Los Angeles, prolific avant-garde composer, writer, and artist John Cage was the son of an inventor and aLos Angeles Timessociety writer. He grew up in Detroit,... Tom Clark combined diverse roles of poet, biographer, novelist, dramatist, reviewer, and sportswriter during his writing career. In addition to dozens of books of poetry, a play, two novels, two... Allen Ginsberg was an acclaimed poet and a leading figure of the Beat Generation whose radical literary works and advocacy for social change left an indelible mark on American counterculture.... Poet and translator Anselm Hollo was born in Helsinki, Finland in 1934. He lived in England for many years, working for the BBC European Services. In 1967, he moved to... Prize-winning author Kenneth Koch published numerous collections of poetry, avant-garde plays, and short fiction while also serving as one of the nation’s best-known creative writing teachers during a career that... Poet, journalist, and filmmaker Lewis MacAdams was born into a family of activists in Dallas, Texas. He earned a BA in English from Princeton University and an MA from the... Eileen Myles was born in Cambridge, Massachusetts, and was educated at the University of Massachusetts-Boston. They moved to New York City in 1974 to be a poet, and subsequently a novelist, art... Frank O'Hara was a dynamic leader of the ""New York School"" of poets, a group that included John Ashbery, Barbara Guest, Kenneth Koch, and James Schuyler. The Abstract Expressionist painters... Poet, editor, and translator Ron Padgett was born in Tulsa, Oklahoma. As a high-school student he founded the avant-garde literary journalThe White Dove Reviewwith his friends and fellow... Nick Sturm is a lecturer in English at Georgia State University and visiting faculty in creative writing at Emory University. He is a co-editor ofGet the Money!: Collected Prose, 1961-1983by... Anne Waldman has been an active member of what she terms the “outrider” experimental poetry community for more than four decades. She has written more than 60 books, includingFast... One of the principal members of the second generation of the New York School poets, Lewis Warsh’s long career spanned the experimental writing movement on both coasts and produced a... On Ted Berrigan’s exuberant and idiosyncratic prose."
Ted Berrigan,ByGarrett Caples,"Garrett Caples is the author ofLovers of Today(2021),Power Ballads(2016),Retrievals(2014),Quintessence of the Minor: Symbolist Poetry in English(2010),Complications(2007), andThe Garrett Caples Reader(1999). He is an editor at City Lights Books, where he curates the Spotlight poetry series. Caples was... Ted Berrigan was born Edmund Joseph Michael Berrigan, Jr. in Providence, Rhode Island, the oldest of three children of Margaret Dugan and Edmund Berrigan, the chief engineer at Ward’s Baking... Alice Notley has become one of America’s greatest living poets. She has long written in narrative and epic and genre-bending modes to discover new ways to explore the nature of... An introduction to one of the most lasting styles of mid-century American poetry. John Ashbery was recognized as one of the greatest 20th-century American poets. He won nearly every major American award for poetry, including the Pulitzer Prize, the National Book Award, the... The 17th-century Japanese haiku master Bashō was born Matsuo Kinsaku near Kyoto, Japan, to a minor samurai and his wife. Soon after the poet’s birth, Japan closed its borders, beginning... Author of eight books of poetry and numerous chapbooks, Anselm Berrigan earned a BA from SUNY Buffalo and an MFA from Brooklyn College. His collections of poetry includeIntegrity & Dramatic... Edmund Berrigan is the author of the poetry collectionsMore Gone(City Lights, 2019),Glad Stone Children(Farfalla, 2008), andDisarming Matter(Owl Press, 1999), as well as the memoirCan It!(Letter... Born in Salem, Arkansas and raised in Tulsa, artist, poet, and theater set designer Joe Brainard moved to New York City at age 19. There, he joined the community of... Born in Los Angeles, prolific avant-garde composer, writer, and artist John Cage was the son of an inventor and aLos Angeles Timessociety writer. He grew up in Detroit,... Tom Clark combined diverse roles of poet, biographer, novelist, dramatist, reviewer, and sportswriter during his writing career. In addition to dozens of books of poetry, a play, two novels, two... Allen Ginsberg was an acclaimed poet and a leading figure of the Beat Generation whose radical literary works and advocacy for social change left an indelible mark on American counterculture.... Poet and translator Anselm Hollo was born in Helsinki, Finland in 1934. He lived in England for many years, working for the BBC European Services. In 1967, he moved to... Prize-winning author Kenneth Koch published numerous collections of poetry, avant-garde plays, and short fiction while also serving as one of the nation’s best-known creative writing teachers during a career that... Poet, journalist, and filmmaker Lewis MacAdams was born into a family of activists in Dallas, Texas. He earned a BA in English from Princeton University and an MA from the... Eileen Myles was born in Cambridge, Massachusetts, and was educated at the University of Massachusetts-Boston. They moved to New York City in 1974 to be a poet, and subsequently a novelist, art... Frank O'Hara was a dynamic leader of the ""New York School"" of poets, a group that included John Ashbery, Barbara Guest, Kenneth Koch, and James Schuyler. The Abstract Expressionist painters... Poet, editor, and translator Ron Padgett was born in Tulsa, Oklahoma. As a high-school student he founded the avant-garde literary journalThe White Dove Reviewwith his friends and fellow... Nick Sturm is a lecturer in English at Georgia State University and visiting faculty in creative writing at Emory University. He is a co-editor ofGet the Money!: Collected Prose, 1961-1983by... Anne Waldman has been an active member of what she terms the “outrider” experimental poetry community for more than four decades. She has written more than 60 books, includingFast... One of the principal members of the second generation of the New York School poets, Lewis Warsh’s long career spanned the experimental writing movement on both coasts and produced a... On Ted Berrigan’s exuberant and idiosyncratic prose."
Rio Cortez,ByJ. Howard Rosier,"J. Howard Rosier's work has appeared inTheNew York Times,The Atlantic,The Nation, and more. He is a board member of the National Book Critics Circle. Rio Cortez is the author ofGolden Ax(Penguin Poets, 2022), as well as the picture bookThe ABCs of Black History(Workman, 2020). Her chapbookI Have Learned to Define a Field As... Gwendolyn Brooks is one of the most influential and widely read 20th-century American poets. The author of more than 20 books, she was highly regarded even during her lifetime and... Herman Poole Blount (Sun Ra) was born and raised in Alabama became involved in the jazz scene in Chicago after World War II. He abandoned his birth name, taking the..."
Rio Cortez,ByJ. Howard Rosier,"J. Howard Rosier's work has appeared inTheNew York Times,The Atlantic,The Nation, and more. He is a board member of the National Book Critics Circle. Rio Cortez is the author ofGolden Ax(Penguin Poets, 2022), as well as the picture bookThe ABCs of Black History(Workman, 2020). Her chapbookI Have Learned to Define a Field As... Gwendolyn Brooks is one of the most influential and widely read 20th-century American poets. The author of more than 20 books, she was highly regarded even during her lifetime and... Herman Poole Blount (Sun Ra) was born and raised in Alabama became involved in the jazz scene in Chicago after World War II. He abandoned his birth name, taking the..."
Adrian Matejka,ByRowan Ricardo Phillips,"Rowan Ricardo Phillips is the author of six books, all published by Farrar, Straus, and Giroux:When Blackness Rhymes with Blackness(2010),The Ground(2012),Heaven(2015),The Circuit(2018),Living Weapon(2020), and the forthcomingSilver(2024). He is also the author of a book-length translation, from the Catalan, of Salvador Espriu’sAriadne in the Grotesque Labyrinth(2012)."
Adrian Matejka,ByRowan Ricardo Phillips,"Rowan Ricardo Phillips is the author of six books, all published by Farrar, Straus, and Giroux:When Blackness Rhymes with Blackness(2010),The Ground(2012),Heaven(2015),The Circuit(2018),Living Weapon(2020), and the forthcomingSilver(2024). He is also the author of a book-length translation, from the Catalan, of Salvador Espriu’sAriadne in the Grotesque Labyrinth(2012)."
Micah Ballard,ByKevin O'Rourke,"Kevin O’Rourke lives in Philadelphia, where he works in publishing and writes about science. His first book is the essay collectionAs If Seen at an Angle(Tinderbox Editions, 2017). He is currently working on several follow-up projects, including a book about surviving suicide. Other writing has appeared in the... Poet Micah Ballard was born in Baton Rouge, Louisiana, and earned an MA and MFA from the New College of California. He studied with poet Joanne Kyger and has written... Joshua Beckman was born in New Haven, Connecticut, and attended Hampshire College. An editor at Wave Books, he is the author ofThings Are Happening(1998), winner of the APR/Honickman... Born in New York in 1939, Bill Berkson was a poet, critic, teacher and sometime curator, who became active in the art and literary worlds in his early twenties. He... Garrett Caples is the author ofLovers of Today(2021),Power Ballads(2016),Retrievals(2014),Quintessence of the Minor: Symbolist Poetry in English(2010),Complications(2007), andThe Garrett Caples... Described by Kenneth Rexroth as “one of the most accomplished, one of the most influential” of the postwar American poets, Robert Duncan was an important part of both the Black... Poet, playwright, publisher, and activist Lawrence Ferlinghetti was born Lawrence Monsanto Ferling on March 24, 1919 in Yonkers, New York. His father, an Italian immigrant, had shortened the family name... Surrealist poet Philip Lamantia was born in San Francisco in 1927, the son of Sicilian immigrants. Largely self-taught, he started writing in elementary school and became interested in surrealism after... Beat poet, playwright, novelist, and documentary filmmaker Michael McClure was born in Marysville, Kansas, and raised there and in Seattle. Educated at the University of Wichita, the University of Arizona,... David Meltzer was born in Rochester, New York, and raised in Brooklyn. He began his literary career during the San Francisco Beat and Berkeley Renaissance period in North Beach, California,... the union president’s dead& they won’t let transgenderpeople pee in north carolina& here i’m complaining aboutclimbing the mountain againthe mountain’ll always remainif i’m lucky, to keep me fromsucking & only a king mule willdo. humbled by bill as he goesthrough... Garrett Caples pays tribute to poet Bill Berkson, a personal friend and a central figure in American poetry since the 1960s. Produced by Sarah Geis."
Micah Ballard,ByKevin O'Rourke,"Kevin O’Rourke lives in Philadelphia, where he works in publishing and writes about science. His first book is the essay collectionAs If Seen at an Angle(Tinderbox Editions, 2017). He is currently working on several follow-up projects, including a book about surviving suicide. Other writing has appeared in the... Poet Micah Ballard was born in Baton Rouge, Louisiana, and earned an MA and MFA from the New College of California. He studied with poet Joanne Kyger and has written... Joshua Beckman was born in New Haven, Connecticut, and attended Hampshire College. An editor at Wave Books, he is the author ofThings Are Happening(1998), winner of the APR/Honickman... Born in New York in 1939, Bill Berkson was a poet, critic, teacher and sometime curator, who became active in the art and literary worlds in his early twenties. He... Garrett Caples is the author ofLovers of Today(2021),Power Ballads(2016),Retrievals(2014),Quintessence of the Minor: Symbolist Poetry in English(2010),Complications(2007), andThe Garrett Caples... Described by Kenneth Rexroth as “one of the most accomplished, one of the most influential” of the postwar American poets, Robert Duncan was an important part of both the Black... Poet, playwright, publisher, and activist Lawrence Ferlinghetti was born Lawrence Monsanto Ferling on March 24, 1919 in Yonkers, New York. His father, an Italian immigrant, had shortened the family name... Surrealist poet Philip Lamantia was born in San Francisco in 1927, the son of Sicilian immigrants. Largely self-taught, he started writing in elementary school and became interested in surrealism after... Beat poet, playwright, novelist, and documentary filmmaker Michael McClure was born in Marysville, Kansas, and raised there and in Seattle. Educated at the University of Wichita, the University of Arizona,... David Meltzer was born in Rochester, New York, and raised in Brooklyn. He began his literary career during the San Francisco Beat and Berkeley Renaissance period in North Beach, California,... the union president’s dead& they won’t let transgenderpeople pee in north carolina& here i’m complaining aboutclimbing the mountain againthe mountain’ll always remainif i’m lucky, to keep me fromsucking & only a king mule willdo. humbled by bill as he goesthrough... Garrett Caples pays tribute to poet Bill Berkson, a personal friend and a central figure in American poetry since the 1960s. Produced by Sarah Geis."
Patricia Smith,BySaeed Jones,"Saeed Jones was born in Memphis and raised in Lewisville, Texas. His poems often examine race, desire, power, and grief, and incorporate mythology as well as what he calls “black iconography.” In a 2014 interview for PEN America, Jones stated, “I’m obsessed with manhood as a brutal and artful performance.... Patricia Smith (she/her) has been called “a testament to the power of words to change lives.” She is the author ofUnshuttered(Northwestern University Press, 2023),Incendiary Art(Northwestern University Press,... The 2021 Pegasus Awards Ceremony celebrated winners of the Poetry Foundation’s annual awards, including: Patricia Smith as winner of the 2021 Ruth Lilly Poetry Prize, Susan Briante as winner of... By Patricia Smith This installation, created by artist and designer Bob Faust, rejoices in the poems of Patricia Smith and invites you to recall our connectedness and partake in healing."
Patricia Smith,BySaeed Jones,"Saeed Jones was born in Memphis and raised in Lewisville, Texas. His poems often examine race, desire, power, and grief, and incorporate mythology as well as what he calls “black iconography.” In a 2014 interview for PEN America, Jones stated, “I’m obsessed with manhood as a brutal and artful performance.... Patricia Smith (she/her) has been called “a testament to the power of words to change lives.” She is the author ofUnshuttered(Northwestern University Press, 2023),Incendiary Art(Northwestern University Press,... The 2021 Pegasus Awards Ceremony celebrated winners of the Poetry Foundation’s annual awards, including: Patricia Smith as winner of the 2021 Ruth Lilly Poetry Prize, Susan Briante as winner of... By Patricia Smith This installation, created by artist and designer Bob Faust, rejoices in the poems of Patricia Smith and invites you to recall our connectedness and partake in healing."
Following the Impulse of the Brush,By Arthur Sze,"A conversation with Kimiko Hahn, winner of the 2023 Ruth Lilly Poetry Prize. Stephanie McCarter on her feminist translation of Ovid. The DeafBlind poet John Lee Clark finds his native language. Will Alexander on poetry, consciousness, and the energy of language. A year before the 1992 LA Uprising, a Black teenager named Latasha Harlins was killed in a corner store.Concentrate, Courtney Faye Taylor’s debut, revisits that tragedy—and the life that... Alice Notley on her life with Ted Berrigan. Rio Cortez on Afropioneerism out West. A conversation with Adrian Matejka,Poetry’s new editor. Garrett Caples wrestles with “the impervious world” in his latest collection,Lovers of Today. A conversation with Patricia Smith, winner of the 2021 Ruth Lilly Poetry Prize."
Starting From the Middle,By Lily Meyer,"Adrian Matejka on his new book,Somebody Else Sold the World. The Swedish poet on his travels in the American counterculture. Zoë Hitzig’s debut,Mezzanine, explores a late-capitalist purgatory. A conversation with Marilyn Chin, winner of the 2020 Ruth Lilly Poetry Prize. Mark Nowak on his ""people's history of the poetry workshop."" Arielle Greenberg left the city—and opened her marriage. Hannah Sullivan on failure, form, and paying attention to the ordinary. Paige Lewis finds divinity in the everyday. Aria Aber on language and exile. Jake Skeets's debut reimagines stock representations of Native Americans."
She Spares Nothing,By Kathleen Rooney,"A new translation introduces English-language readers to Miyó Vestrini, a Venezuelan poet who had a radiant obsession with death. Eve L. Ewing revisits the deadly riots of 1919. Two poets on queerness, immigrants, and cyborgs. A new photobook captures Emily Dickinson's hometown through a crooked lens. A conversation with Marilyn Nelson, winner of the 2019 Ruth Lilly Poetry Prize. Craig Morgan Teicher on creativity, voice, and how poets evolve. Jacob Saenz’s debut,Throwing the Crown, offers tough takes on masculinity. Jamila Woods debuts her new music video. sam sax’s new collection,Bury It, is a queer coming-of-age story. Emily Jungmin Yoon’s debut evokes a dark chapter in history."
Praise Songs,By Britteney Black Rose Kapri & José Olivarez,"Two Chicago poets talk about their debuts. Martín Espada on his life in poetry. Hieu Minh Nguyen on vulnerability, whiteness, and why he loves the Midwest. For Tarfia Faizullah, poetry is time travel. In his new one-man show, the famed dancer pays tribute to Joseph Brodsky’s inner world. Stephanie Burt on girlhood, Twitter, and the pleasure of proper nouns. Marcus Wicker on comedy, Wu-Tang, and all that influences his poetry. Margarita Engle, the new Young People’s Poet Laureate, found her home in books. Patricia Smith on form, fathers, and the voice you don’t hear. Pattiann Rogers on her 13th collection and celebrating science in poetry."
Beyond Language,By Layli Long Soldier,"Joy Harjo on writing her life in poetry. Michael McClure on his 25th volume of poetry and more. W.S. Merwin on his long career and trying to enjoy his luck. Ocean Vuong on exploring fear, his family, and why turning your back on your work is a good idea. Kwame Dawes on directing the African Poetry Book Fund. Tyehimba Jess brings 19th-century black musicians back to life. Ta-Nehisi Coates onMacbeth, Sonia Sanchez, and how poetry shaped him into the writer he is today. Why Lola Ridge is ripe for rediscovery. Ross Gay on the connections between gardening and poetry. Morgan Parker talks about Twitter, the importance of accountability, and leaving no emotional stone unturned."
Living Tradition,By Alex Dueben,"Clare Cavanagh talks about the joys and challenges of translation. Tavi Gevinson on riot grrrl, Patti Smith, and writing poetry out of necessity. Jacqueline Woodson, the new young people’s poet laureate, on why poetry is a party everyone is invited to. Maggie Nelson on birth, death, and everything in between. Ruth Lilly Prize winner Alice Notley on the voice and spirits of her poetry. Ruth Lilly Prize winner Alice Notley on the voice and spirits of her poetry. Richard Siken on writing, the joys of painting, and the challenges of publishing his first book in a decade. August Wilson never left poetry behind. P. Scott Cunningham on launching a publishing imprint, what a Basque sport has to do with books, and why nothing in Miami is ever settled. Bob Holman on the Nuyorican, oral tradition, and how poetry led him to activism."
Starting From the Middle,By Lily Meyer,"Adrian Matejka on his new book,Somebody Else Sold the World. The Swedish poet on his travels in the American counterculture. Zoë Hitzig’s debut,Mezzanine, explores a late-capitalist purgatory. A conversation with Marilyn Chin, winner of the 2020 Ruth Lilly Poetry Prize. Mark Nowak on his ""people's history of the poetry workshop."" Arielle Greenberg left the city—and opened her marriage. Hannah Sullivan on failure, form, and paying attention to the ordinary. Paige Lewis finds divinity in the everyday. Aria Aber on language and exile. Jake Skeets's debut reimagines stock representations of Native Americans."
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Modernism at the 1913 Armory Show Architecture and Planning in Chicago Harriet Monroe on the Artist’s Audience A new biography of Jane Kenyon frees the poet from the shadow of her famous older husband. Brian Teare'sPoem Bitten by a Manis a hybrid book that presses language into and against visual art. A new edition of Tomas Tranströmer’s collected works showcases his wild associative leaps. Four hundred unruly, obsessive, baffling years of Shakespeare’s First Folio."
Following the Impulse of the Brush,By Arthur Sze,"A conversation with Kimiko Hahn, winner of the 2023 Ruth Lilly Poetry Prize. Stephanie McCarter on her feminist translation of Ovid. The DeafBlind poet John Lee Clark finds his native language. Will Alexander on poetry, consciousness, and the energy of language. A year before the 1992 LA Uprising, a Black teenager named Latasha Harlins was killed in a corner store.Concentrate, Courtney Faye Taylor’s debut, revisits that tragedy—and the life that... Alice Notley on her life with Ted Berrigan. Rio Cortez on Afropioneerism out West. A conversation with Adrian Matejka,Poetry’s new editor. Garrett Caples wrestles with “the impervious world” in his latest collection,Lovers of Today. A conversation with Patricia Smith, winner of the 2021 Ruth Lilly Poetry Prize."
"Harriet Monroe, Art Critic",By Mark Pohlad,"Reading the visual in theChicago Daily Tribune Gjertrud Schnackenberg’s best poems play form against theme, and then some. Bianca Stone, Ruth Stone’s granddaughter, charts her own poetic territory Leigh Stein’s blinkering, connected verse Omar Pérez is an island unto himself. A doctor’s grim prognosis gave Timothy Donnelly a new outlook on life—and poetry. Martín Espada looks for poetic life outside the MFA universe. The surrealist adventurer of Stockton, California. Can two women write like one man? Tacoma, Washington's reclusive genius."
2023: Poetry's Year in Prose,By The Editors,"A reading list of our 2023 features. How Robert Frost made poetry modern. Christian Wiman'sZero at the Boneblends memoir and theology, criticism and poetry into a mystical commonplace book for Armageddon. Reading the visual in theChicago Daily Tribune"
